titleId,title,averageRating,numVotes,startYear,runtimeMinutes,genre1,genre2,overview,poster_path,backdrop_path,popularity,production_companies_name,nconst_director,Director_name,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10
tt0035423,Kate et Léopold,6.4,88939.0,2001.0,118.0,Comedy,Fantasy,"When her scientist ex-boyfriend discovers a portal to travel through time -- and brings back a 19th-century nobleman named Leopold to prove it -- a skeptical Kate reluctantly takes responsibility for showing Leopold the 21st century. The more time Kate spends with Leopold, the harder she falls for him. But if he doesn't return to his own time, his absence will forever alter history.",/mUvikzKJJSg9khrVdxK8kg3TMHA.jpg,/hfeiSfWYujh6MKhtGTXyK3DD4nN.jpg,15.77,"Miramax, Konrad Pictures",nm0003506,James Mangold,Bradley Whitford, Paxton Whitehead, Matthew Sussman, Liev Schreiber, Meg Ryan, Hugh Jackman, Breckin Meyer, Spalding Gray, Natasha Lyonne, Josh Stamberg
tt0054632,L'année dernière à Marienbad,7.7,24793.0,1961.0,94.0,Drama,Mystery,"In a strange and isolated chateau, a man becomes acquainted with a woman and insists that they have met before.",/syIJCqiSkGRJTlyaBtyI5jqPtE7.jpg,/pQu3nfTeH0BckzJymAxaVnrMFut.jpg,11.284,"Argos Films, Cineriz, Silver Films, Terra Film, Cormoran Films, Cinétel",nm0720297,Alain Resnais,Pierre Barbaud, Delphine Seyrig, Françoise Bertin, Sacha Pitoëff, Françoise Spira, Karin Toeche-Mittler, Wilhelm von Deek, Héléna Kornel, Giorgio Albertazzi, Luce Garcia-Ville
tt0054692,Sous le ciel bleu d'Hawaï,6.1,7478.0,1961.0,102.0,Comedy,Musical,"Chad Gates has just been discharged from the Army, and is happy to be back in Hawaii with his surf-board, his beach buddies and his girlfriend.",/cuZk1mf6Qcw1gs4vvUsner8vuox.jpg,/xjenQamrkIiKWlfBviOnL5j7E34.jpg,10.444,"Hal Wallis Productions, Paramount",nm0851537,Norman Taurog,Howard McNear, Joan Blackman, Elvis Presley, Angela Lansbury, Steve Brodie, John Archer, Nancy Walters, Roland Winters, Iris Adrian, Christian Kay
tt0054698,Diamants sur canapé,7.6,191686.0,1961.0,115.0,Comedy,Drama,"Holly Golightly is an eccentric New York City playgirl determined to marry a Brazilian millionaire. But when young writer Paul Varjak moves into her apartment building, her past threatens to get in their way.",/79xm4gXw4l7A5D0XukUOJRocFYQ.jpg,/jXZ2tyJl44yKvh22I6ooQwU5rFM.jpg,18.252,"Jurow-Shepherd, Paramount",nm0001175,Blake Edwards,José Luis de Vilallonga, Dorothy Whitney, Martin Balsam, John McGiver, Audrey Hepburn, George Peppard, Elvia Allman, Patricia Neal, Buddy Ebsen, Stanley Adams
tt0054847,Le Cid,7.2,15632.0,1961.0,182.0,Biography,Drama,"Epic film of the legendary Spanish hero, Rodrigo Diaz (""El Cid"" to his followers), who, without compromising his strict sense of honour, still succeeds in taking the initiative and driving the Moors from Spain.",/a6DY3LDlXFUDuXm47zXTOfiisxP.jpg,/7V3Ips6p93w7JhpAIm0p9PLCTLZ.jpg,13.196,"Samuel Bronston Productions, Allied Artists Pictures, Dear Film",nm0542649,Anthony Mann,Frank Thring, Michael Hordern, Gary Raymond, Geneviève Page, Hurd Hatfield, Massimo Serato, Raf Vallone, John Fraser, Sophia Loren, Charlton Heston
tt0054953,Les Canons de Navarone,7.5,55225.0,1961.0,158.0,Action,Adventure,"A team of allied saboteurs are assigned an impossible mission: infiltrate an impregnable Nazi-held island and destroy the two enormous long-range field guns that prevent the rescue of 2,000 trapped British soldiers.",/j6VSFnm20GlkUi8yb7hM5Qfc1fA.jpg,/AsBJ7JjNR7wcONrfkUW027C8D5c.jpg,15.708,"Columbia Pictures, Highroad Productions",nm0496746,J. Lee Thompson,David Niven, Anthony Quinn, Stanley Baker, Anthony Quayle, James Robertson Justice, Gia Scala, James Darren, Richard Harris, Irene Papas, Gregory Peck
tt0054997,L'Arnaqueur,8.0,86655.0,1961.0,134.0,Drama,Sport,Fast Eddie Felson is a small-time pool hustler with a lot of talent but a self-destructive attitude. His bravado causes him to challenge the legendary Minnesota Fats to a high-stakes match.,/snItsSViawjaadW9mlWUmGwR41R.jpg,/1aspiiXDHVizaCYTNaWwRQSmXCh.jpg,12.066,"Rossen Films, 20th Century Fox",nm0744035,Robert Rossen,Jackie Gleason, Michael Constantine, Paul Newman, Stefan Gierasch, Jake LaMotta, Piper Laurie, Clifford A. Pellow, Murray Hamilton, Myron McCormick, George C. Scott
tt0055031,Jugement à Nuremberg,8.3,85083.0,1961.0,179.0,Drama,War,"In 1947, four German judges who served on the bench during the Nazi regime face a military tribunal to answer charges of crimes against humanity. Chief Justice Haywood hears evidence and testimony not only from lead defendant Ernst Janning and his defense attorney Hans Rolfe, but also from the widow of a Nazi general, an idealistic U.S. Army captain and reluctant witness Irene Wallner.",/cqumfgd74ftVzOKJpFGOG64WlXL.jpg,/37lz7mPo3AWV2BiaF7TA6ZWqL5u.jpg,13.877,"United Artists, Roxlom Films",nm0006452,Stanley Kramer,Maximilian Schell, Montgomery Clift, Spencer Tracy, Kenneth MacKenna, Burt Lancaster, Richard Widmark, Werner Klemperer, Marlene Dietrich, Judy Garland, William Shatner
tt0055047,Le roi des rois,7.0,8974.0,1961.0,168.0,Biography,Drama,"Who is Jesus, and why does he impact all he meets? He is respected and reviled, emulated and accused, beloved, betrayed, and finally crucified. Yet that terrible fate would not be the end of the story.",/fp1Nx4FASTGldFuQyGXN0HF6Jgk.jpg,/f48vRLX90jlgwg9Ff2fq3ckfFsY.jpg,12.283,"Samuel Bronston Productions, Metro-Goldwyn-Mayer",nm0712947,Nicholas Ray,Siobhan McKenna, Viveca Lindfors, Hurd Hatfield, Brigid Bazlen, Jeffrey Hunter, Carmen Sevilla, Rip Torn, Rita Gam, Harry Guardino, Ron Randell
tt0055184,Les désaxés,7.2,23321.0,1961.0,125.0,Drama,Romance,"While filing for a divorce, beautiful ex-stripper Roslyn Taber ends up meeting aging cowboy-turned-gambler Gay Langland and former World War II aviator Guido Racanelli. The two men instantly become infatuated with Roslyn and, on a whim, the three decide to move into Guido's half-finished desert home together. When grizzled ex-rodeo rider Perce Howland arrives, the unlikely foursome strike up a business capturing wild horses.",/pjWlNZeoT5ZcVutOAHkFK7Z22Sb.jpg,/zts98k3uBQ3qEZKQFwBliW2jlpf.jpg,13.136,"Metro-Goldwyn-Mayer, United Artists, Seven Arts Productions",nm0001379,John Huston,Eli Wallach, Montgomery Clift, Rex Bell, Kevin McCarthy, Thelma Ritter, James Barton, Clark Gable, Marilyn Monroe, Estelle Winwood,
